medio,puntuacion,comentario,indice_ia,comentario_traducida
SpaceNerd.it,80.0,"Red Dead Redemption, many years later, is still a wonder to play and explore. Despite making zero changes to its gameplay, apart from the much appreciated inclusion of the Undead Nightmare DLC, Rockstar successfully manages to bring back the good old memories of this exceptional game thanks to a very stable port, giving everyone the chance to experience the tale of John Marston.",5,"Red Dead Redemption, muchos años después, sigue siendo una maravilla para jugar y explorar. A pesar de no realizar ningún cambio en su modo de juego, aparte de la muy apreciada inclusión del DLC Undead Nightmare, Rockstar logra recuperar los viejos recuerdos de este juego excepcional gracias a un puerto muy estable, que brinda a todos la oportunidad de experimentar la historia de John Marston."
GameOnly,80.0,"Red Dead Redemption on PC is the best edition of John Marston's adventures one can play. In terms of music and story — excellent, graphically it falls short compared to modern titles, but in terms of gameplay, it remains exceptionally enjoyable. It's a brilliant western, causing both bursts of laughter and tears, while also skillfully addressing many issues like racism, immigration, and human rights. A beautiful, personal story in the Wild West that's slowly getting more civilized.",5,"Red Dead Redemption para PC es la mejor edición de las aventuras de John Marston que uno puede jugar. En términos de música e historia, excelente, gráficamente se queda corto en comparación con los títulos modernos, pero en términos de jugabilidad, sigue siendo excepcionalmente divertido. Es un western brillante, que provoca carcajadas y lágrimas, y al mismo tiempo aborda hábilmente muchos temas como el racismo, la inmigración y los derechos humanos. Una historia hermosa y personal en el Salvaje Oeste que poco a poco se está volviendo más civilizado."
Gamepressure,80.0,"Red Dead Redemption is an amazing experience and is one of those games that defined a generation of open-world titles where movie-level storytelling weaved into the action you got to control. If you’ve already played it, you won’t miss anything, but if you were looking for an excuse to see what the hype was all about, wait for a sale first.",5,"Red Dead Redemption es una experiencia increíble y es uno de esos juegos que definió una generación de títulos de mundo abierto donde la narración a nivel de película se entrelazaba con la acción que podías controlar. Si ya lo jugaste, no te perderás nada, pero si estabas buscando una excusa para ver de qué se trataba todo el revuelo, espera primero a una oferta."
Niche Gamer,80.0,"Although the sluggish gameplay and unresponsive action have always been open to question, with the right mindset, it’s possible to adapt to its crap-factor. It’s worth acclimating to them because Red Dead Redemption is more than the sum of its parts.",5,"Aunque la jugabilidad lenta y la acción que no responde siempre han sido cuestionables, con la mentalidad adecuada, es posible adaptarse a su factor de basura. Vale la pena aclimatarse a ellos porque Red Dead Redemption es más que la suma de sus partes."
NookGaming,80.0,"Red Dead Redemption is hailed as one of the best games ever made, as is its sequel, and this is a strong reminder as to why. It's aged brilliantly and is easily a game I would suggest everyone needs to play. Sadly, the lack of multiplayer and the higher price tag do seem to be sticking points for some. But with the sheer amount of content and quality, it still offers fair value for an unmissable gaming experience.",5,"Red Dead Redemption es aclamado como uno de los mejores juegos jamás creados, al igual que su secuela, y este es un fuerte recordatorio de por qué. Ha envejecido brillantemente y es fácilmente un juego que sugeriría que todos deberían jugar. Lamentablemente, la falta de modo multijugador y el precio más alto parecen ser puntos conflictivos para algunos. Pero con la gran cantidad de contenido y calidad, todavía ofrece un valor razonable para una experiencia de juego imperdible."
Hey Poor Player,80.0,"Red Dead Redemption on Switch is a mostly fine port of a great game. If you’ve been dying to replay it or haven’t checked it out before, you should absolutely do so, but those who have already fully explored the old west won’t find anything new here or much reason to buy it again outside of the handheld factor. For some, though, that will be all the incentive they need.",5,"Red Dead Redemption en Switch es una buena adaptación de un gran juego. Si te mueres por volver a jugarlo o no lo has visto antes, deberías hacerlo, pero aquellos que ya hayan explorado por completo el viejo oeste no encontrarán nada nuevo aquí ni muchas razones para comprarlo nuevamente fuera del factor portátil. Para algunos, sin embargo, ese será todo el incentivo que necesitan."
IGN Spain,80.0,"Red Dead Redemption is really enjoyable on PS4 and Nintendo Switch. After thirteen years, the Rockstar classic holds up like no other, and these adjustments are more than enough for a very satisfying experience. Many of us would have liked something more, but for both nostalgic and new fans of the saga, this port is a fantastic opportunity to get into the boots of John Marston.",5,"Red Dead Redemption es realmente divertido en PS4 y Nintendo Switch. Después de trece años, el clásico de Rockstar se mantiene como ningún otro, y estos ajustes son más que suficientes para una experiencia muy satisfactoria. A muchos de nosotros nos hubiera gustado algo más, pero tanto para los nostálgicos como para los nuevos fans de la saga, este port es una oportunidad fantástica para ponerse en la piel de John Marston."
Nintendo Life,80.0,"Red Dead Redemption on Switch is a straightforward port of 2010's masterpiece with no added bells or whistles for a rather high price tag. If you can get over that, this is a game we highly recommend digging into, especially if you've yet to experience it. Rockstar's Western epic holds up surprisingly well, its story is as powerful as ever, its knockabout action still feels great, and it looks and plays perfectly well on Nintendo's console. Multiplayer has been cut, which is a sore but understandable excision, and we'd really have liked to see effort put into adding gyro controls or touching up the graphics a little, but it is what it is. This is a proper all-timer ported successfully to Switch and, if you can stump up the cash, you'll have a great time here regardless of the lack of TLC.",5,"Red Dead Redemption en Switch es una adaptación sencilla de la obra maestra de 2010 sin campanas ni silbidos adicionales por un precio bastante alto. Si puedes superar eso, este es un juego que recomendamos encarecidamente profundizar, especialmente si aún no lo has experimentado. La epopeya occidental de Rockstar se mantiene sorprendentemente bien, su historia es tan poderosa como siempre, su acción trepidante todavía se siente genial y se ve y se juega perfectamente bien en la consola de Nintendo. Se ha eliminado el modo multijugador, lo cual es una eliminación dolorosa pero comprensible, y realmente nos hubiera gustado que se hiciera un esfuerzo para agregar controles giroscópicos o retocar un poco los gráficos, pero es lo que es. Este es un verdadero juego de todos los tiempos adaptado con éxito a Switch y, si puedes gastar el dinero, te lo pasarás genial aquí independientemente de la falta de TLC."
IGN Spain,80.0,"Red Dead Redemption is an exceptional game, and its PC port more than delivers, offering a well-optimized experience even for less powerful devices. Even so, it is missing some substantial additions or improvements after so many years of waiting.",7,"Red Dead Redemption es un juego excepcional y su versión para PC lo cumple con creces, ya que ofrece una experiencia bien optimizada incluso para dispositivos menos potentes. Aun así, se echan en falta algunos añadidos o mejoras sustanciales tras tantos años de espera."
The Games Machine,80.0,"Finally, after fourteen years, Red Dead Redemption also arrives on PC. The title has aged very well, unfortunately this conversion brings with it countless technical problems.",7,"Por fin, después de catorce años, Red Dead Redemption también llega a PC. El título ha envejecido muy bien, lamentablemente esta conversión trae consigo innumerables problemas técnicos."
SECTOR.sk,80.0,"This cult western has long been absent from the PC, although its sequel was released a few years ago. Rockstar has finally released it on this platform, but with outdated graphics and a high price tag.",7,"Este western de culto lleva mucho tiempo ausente del PC, aunque su secuela se estrenó hace unos años. Rockstar finalmente lo lanzó en esta plataforma, pero con gráficos obsoletos y un precio elevado."
GameMAG,80.0,The silver lining here is that now the game is finally freed from the cage of old hardware. And that's a great thing.,7,El lado positivo aquí es que ahora el juego finalmente se ha liberado de la jaula del hardware antiguo. Y eso es algo grandioso.
SomHráč.sk,80.0,"Red Dead Redemption is an excellent game in a bit of a lazy repackaging. If you haven't played it yet, go right ahead, but otherwise, there's not much for you here.",7,"Red Dead Redemption es un juego excelente con un reenvasado un poco perezoso. Si aún no lo has jugado, adelante, pero por lo demás, no hay mucho para ti aquí."
Cultured Vultures,80.0,Red Dead Redemption on the Switch is the exact same Western epic you know and love. That's both its greatest strength and its greatest weakness.,7,Red Dead Redemption en Switch es exactamente la misma epopeya occidental que conoces y amas. Ésa es a la vez su mayor fortaleza y su mayor debilidad.
Digital Chumps,77.0,"It's nothing special to groundbreaking to write home on. There isn't any new story additions, but I do think it's a great game to pick up if you want to roam what is left of the untamed west while you still can.",7,"No es nada especial o innovador para destacar. No hay nuevas adiciones a la historia, pero creo que es un gran juego para aprender si quieres vagar por lo que queda del oeste salvaje mientras puedas."
Entertainium,75.0,"Red Dead Redemption has certainly aged like a fine wine, still retaining its satisfying gameplay and an enormous, gorgeous wild west to explore.",4,"Red Dead Redemption ciertamente ha envejecido como un buen vino, aún conserva su juego satisfactorio y un enorme y hermoso salvaje oeste para explorar."
PSX Brasil,75.0,"In its original form, Red Dead Redemption is nearly perfect in all its key aspects, such as narrative, gameplay, and artistic concept. The 2023 PS4 remaster was timid in updating definition and performance, but did enough to introduce it to a new generation and fill a gap for longtime fans. All of this is now confirmed by the native PlayStation 5 version, with its 4K at 60fps with HDR, things that seem like little - and in a way, they are - but which at least offer the most solid, beautiful, and stable experience possible for one of the greatest classics in gaming history.",5,"En su forma original, Red Dead Redemption es casi perfecto en todos sus aspectos clave, como la narrativa, la jugabilidad y el concepto artístico. La remasterización de PS4 de 2023 fue tímida a la hora de actualizar la definición y el rendimiento, pero hizo lo suficiente para presentarla a una nueva generación y llenar un vacío para los fanáticos de toda la vida. Todo ello lo confirma ahora la versión nativa de PlayStation 5, con su 4K a 60fps con HDR, cosas que parecen poco -y en cierto modo lo son- pero que al menos ofrecen la experiencia más sólida, bonita y estable posible para uno de los grandes clásicos de la historia de los videojuegos."
Gameffine,75.0,"Rating the Red Dead Redemption PC port proved to be a painful process for me. On the one hand, you have a basic but solid port of one of the most requested and highly rated games of all time. On the other hand, the pricing of the PC port is one of the most egregious this year. What’s even worse is Rockstar’s utter disregard for regional pricing. With pricing the way it is now, I cannot in good conscience recommend Red Dead Redemption to our Indian audience.",5,"Calificar el port para PC de Red Dead Redemption resultó ser un proceso doloroso para mí. Por un lado, tienes una versión básica pero sólida de uno de los juegos más solicitados y mejor valorados de todos los tiempos. Por otro lado, el precio del port para PC es uno de los más atroces de este año. Lo que es aún peor es el total desprecio de Rockstar por los precios regionales. Con los precios actuales, no puedo, en conciencia, recomendar Red Dead Redemption a nuestra audiencia india."
Duuro Magazine,75.0,"If you have played the game back in 2010 with fond memories of it and you have 50 bucks to waste, then absolutely go for it as the game is as good as you remember it. But if you are on a budget, there are newer and better games you can spend your hard earned cash.",5,"Si jugaste el juego en 2010 y tienes buenos recuerdos y tienes 50 dólares para desperdiciar, entonces hazlo, ya que el juego es tan bueno como lo recuerdas. Pero si tienes un presupuesto limitado, hay juegos nuevos y mejores en los que puedes gastar el dinero que tanto te costó ganar."
GamingTrend,75.0,"Rockstar's port of Red Dead Redemption on the Playstation 4 and Nintendo Switch provides an opportunity for both newcomers and fans alike to experience one of gaming's most memorable adventures once again. While there are some improvements to the visuals and performance, remnants of the game's age still bleed through. If you can look past the outrageous price tag and some cut content, then your journey back to the Wild West is definitely one worth taking.",5,"La versión de Rockstar de Red Dead Redemption para Playstation 4 y Nintendo Switch brinda una oportunidad tanto para los recién llegados como para los fanáticos de experimentar una de las aventuras más memorables de los juegos una vez más. Si bien hay algunas mejoras en las imágenes y el rendimiento, los restos de la antigüedad del juego aún se traslucen. Si puede pasar por alto el precio escandaloso y el contenido recortado, entonces definitivamente vale la pena emprender su viaje de regreso al Salvaje Oeste."
Press Start,75.0,"The Switch port of Red Dead Redemption is a faithful way to get into the world of Red Dead. It looks good as long as you adjust expectations and consider the game's age, and performs consistently well in both handheld and docked modes. While many aspects will feel dated, I still had a fun time exploring the old west with John during the last gasps of the American frontier.",5,"El puerto Switch de Red Dead Redemption es una forma fiel de adentrarte en el mundo de Red Dead. Se ve bien siempre que ajuste las expectativas y considere la antigüedad del juego, y funciona consistentemente bien tanto en el modo portátil como en el acoplado. Si bien muchos aspectos pueden parecer anticuados, todavía me divertí explorando el viejo oeste con John durante los últimos suspiros de la frontera estadounidense."
PSX Brasil,75.0,"Although not the version expected by many players, Red Dead Redemption shows strength as one of the best games of all time. The 2023 version is the most stable option, but it could be much better.",7,"Aunque no es la versión esperada por muchos jugadores, Red Dead Redemption demuestra solidez como uno de los mejores juegos de todos los tiempos. La versión 2023 es la opción más estable, pero podría ser mucho mejor."
Evilgamerz,72.0,"Without a doubt, Red Dead Redemption is a more than fantastic game that is an excellent addition, especially on the Switch, but the asking price of 50 euros is way too much for such a simple port and that leaves a sour aftertaste. If the price is not a problem for you, then this is a great game. Fortunately, it has not become such a fiasco as the GTA trilogy, but next time we would rather see a full remake.",5,"Sin duda, Red Dead Redemption es un juego más que fantástico que supone un excelente añadido, sobre todo en Switch, pero el precio de venta de 50 euros es demasiado para un port tan sencillo y que deja un regusto amargo. Si el precio no es un problema para ti, entonces este es un gran juego. Afortunadamente, no se ha convertido en un fiasco como la trilogía de GTA, pero la próxima vez preferiríamos ver una nueva versión completa."
Merlin'in Kazanı,72.0,"Coming to PC after years, Red Dead Redemption was disappointing with outdated graphics and a high price. Rockstar seems to have presented the game with minimal effort without updating it.",7,"Al llegar a PC después de años, Red Dead Redemption fue decepcionante con gráficos obsoletos y un precio elevado. Rockstar parece haber presentado el juego con el mínimo esfuerzo sin actualizarlo."
GamingBolt,70.0,"Red Dead Redemption's current-gen debut does a lot to improve on the original experience, but it isn't enough to make this one worthy of the systems it's running on. Although it is the definitive way to play the game, this is a title that deserved a full-fledged remake.",5,"El debut de Red Dead Redemption en la generación actual mejora mucho la experiencia original, pero no es suficiente para que sea digno de los sistemas en los que se ejecuta. Aunque es la forma definitiva de jugar, este es un título que merecía una nueva versión completa."
Worth Playing,70.0,"Even after 14 years, Red Dead Redemption remains a good example of how to do a proper Western in video game form. The main adventure is more focused than the sequel due to the relatively smaller cast and scope of your travels, but there are also plenty of side-quests that make it worthwhile to divert from the main questline. Undead Nightmare remains one of the better zombie games out there, and it still feels distinct after all these years. You just wish that there was more work done to the graphics outside of adding HDR and upping the brightness, especially since they're charging $50 for a 14-year-old port. The game is still worth adding to your library, but you might want to wait for a very good discount.",5,"Incluso después de 14 años, Red Dead Redemption sigue siendo un buen ejemplo de cómo hacer un western adecuado en forma de videojuego. La aventura principal está más centrada que la secuela debido al reparto relativamente más pequeño y al alcance de tus viajes, pero también hay muchas misiones secundarias que hacen que valga la pena desviarse de la línea de misiones principal. Undead Nightmare sigue siendo uno de los mejores juegos de zombies que existen y todavía se siente distinto después de todos estos años. Sólo desearías que se hubiera trabajado más en los gráficos además de agregar HDR y aumentar el brillo, especialmente porque están cobrando $50 por un puerto de 14 años. Todavía vale la pena agregar el juego a tu biblioteca, pero es posible que quieras esperar a obtener un muy buen descuento."
Cubed3,70.0,"Despite its gameplay flaws, Red Dead Redemption is a classic on seventh gen consoles. Its well-crafted characters and script are among the era's best. It's a technological marvel with meticulous attention to detail. While the gameplay may require adaptation on the player's part, it's worth it because Red Dead Redemption's overall experience is greater than the sum of its individual parts.",5,"A pesar de sus defectos de juego, Red Dead Redemption es un clásico en las consolas de séptima generación. Sus personajes y guión bien elaborados se encuentran entre los mejores de la época. Es una maravilla tecnológica con una meticulosa atención al detalle. Si bien la jugabilidad puede requerir una adaptación por parte del jugador, vale la pena porque la experiencia general de Red Dead Redemption es mayor que la suma de sus partes individuales."
Gameffine,70.0,"While Red Dead Redemption is a spectacular masterpiece on its own, its PlayStation 4 port hardly brings anything new to the table with a steep price tag of its own. While it’s a huge missed opportunity after a decade-long wait, it’s nice that more modern systems besides Xbox consoles can finally play this piece of art. As for the recommendation, you should pick this up while it is on sale or wait for the possible PC and PS5 ports that may hit the stores next year.",5,"Si bien Red Dead Redemption es una obra maestra espectacular por sí sola, su versión para PlayStation 4 apenas aporta nada nuevo a la mesa con un precio elevado. Si bien es una gran oportunidad perdida después de una espera de una década, es bueno que los sistemas más modernos, además de las consolas Xbox, finalmente puedan reproducir esta obra de arte. En cuanto a la recomendación, debes adquirirla mientras esté a la venta o esperar los posibles puertos para PC y PS5 que puedan llegar a las tiendas el próximo año."
WayTooManyGames,70.0,"This game has aged a lot. Although I did have fun with Red Dead Redemption, I can’t help but think this is just a bit below the average of what we expect from a 2023 title being released at a ludicrously premium price. Having this on-the-go, whilst a novel concept, is a bit detrimental to its epic, movie-like plot and structure. This benefits from being played on a bigger screen, and by doing so, it looks a bit worse. Not to mention the fact its controls and physics are simply too clunky, even for Xbox 360 standards.",5,"Este juego ha envejecido mucho. Aunque me divertí con Red Dead Redemption, no puedo evitar pensar que esto está un poco por debajo del promedio de lo que esperamos de un título de 2023 que se lanzará a un precio ridículamente superior. Tener esto en movimiento, si bien es un concepto novedoso, es un poco perjudicial para su trama y estructura épicas, parecidas a las de una película. Esto se beneficia al jugarse en una pantalla más grande y, al hacerlo, se ve un poco peor. Sin mencionar el hecho de que sus controles y su física son simplemente demasiado torpes, incluso para los estándares de Xbox 360."
Impulsegamer,70.0,"Overall, after all these years, Red Dead Redemption is still a great game that offers players a compelling narrative, a fantastic open world, and an overall highly engaging gameplay experience. However, the PS4 port isn't something that can easily be recommended to those who've already played the game and its DLC or even own the original bundle, at least at its current asking price. As such, if you've never played the game and are still interested in the port, I'd advise waiting for a sale or buying the Switch port, as that at least offers the value of playing the game on the go.",5,"En general, después de todos estos años, Red Dead Redemption sigue siendo un gran juego que ofrece a los jugadores una narrativa convincente, un mundo abierto fantástico y, en general, una experiencia de juego muy atractiva. Sin embargo, el port de PS4 no es algo que pueda recomendarse fácilmente a aquellos que ya jugaron el juego y su DLC o incluso poseen el paquete original, al menos al precio actual. Como tal, si nunca has jugado y todavía estás interesado en el puerto, te recomiendo esperar una oferta o comprar el puerto Switch, ya que eso al menos ofrece el valor de jugar sobre la marcha."
Push Square,60.0,The bottom line here is that Red Dead Redemption deserves so much more.,4,La conclusión aquí es que Red Dead Redemption merece mucho más.
KonsoliFIN,60.0,"It only took 14 years, but Red Dead Redemption is finally out on PC. While the heady mix of Sam Peckinpah, Clint Eastwood, and Blood Meridian is still superlative in places, time hasn't treated all aspects of Rockstar's great western kindly. This one might be for completionists only.",5,"Solo pasaron 14 años, pero Red Dead Redemption finalmente está disponible para PC. Si bien la embriagadora mezcla de Sam Peckinpah, Clint Eastwood y Blood Meridian sigue siendo superlativa en algunos lugares, el tiempo no ha tratado con amabilidad todos los aspectos del gran western de Rockstar. Este podría ser solo para finalistas."
Thumb Culture,60.0,"Even though I looked forward to playing Red Dead Redemption after playing, I think it would have been better off with a remaster. Maybe it’s because of the vast improvements I enjoyed in Red Dead Redemption 2, but I didn’t find this as enjoyable as I did back on PS3.",5,"Aunque tenía ganas de jugar Red Dead Redemption después de jugarlo, creo que hubiera sido mejor con una remasterización. Tal vez sea por las grandes mejoras que disfruté en Red Dead Redemption 2, pero no lo encontré tan divertido como en PS3."
Expansive,60.0,"Red Dead Redemption impresses thirteen years on by still offering great storytelling, fun missions and a gripping, cinematic adventure from start to finish. Double Eleven have worked magic and provided a practically perfect port on Nintendo Switch that’s, for the most part, a like-for-like recreation, and in some cases better than ever. Stripped out multiplayer, a lack of Switch specific features and a higher than expected price point may deter some players, but with a stable frame rate and stunning, vivid visuals, the opportunity to play as John Marston anywhere and everywhere makes for a very tempting proposition.",5,"Red Dead Redemption impresiona trece años después y sigue ofreciendo una excelente narración, misiones divertidas y una apasionante aventura cinematográfica de principio a fin. Double Eleven ha hecho magia y ha proporcionado un puerto prácticamente perfecto para Nintendo Switch que es, en su mayor parte, una recreación similar y, en algunos casos, mejor que nunca. El modo multijugador eliminado, la falta de características específicas de Switch y un precio más alto de lo esperado pueden disuadir a algunos jugadores, pero con una velocidad de fotogramas estable y efectos visuales sorprendentes y vívidos, la oportunidad de jugar como John Marston en cualquier lugar es una propuesta muy tentadora."
